date|time|description|vendor|amount
2023-10-25|10:13:25|ergonomic keyboard|Amazon|-89.50
2024-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-04-23|09:45:10|Coffee purchase|Starbucks|-4.25
2024-09-19|12:30:00|Office supplies|Staples|-120.75
2024-04-16|15:10:55|Laptop repair|TechFix|320.00
2024-10-17|08:05:20|Breakfast meeting|Denny's|-15.90
2023-12-17|13:45:30|Client payment|Acme Corp|2500.00
2023-04-18|10:00:00|Internet bill|Comcast|-75.00
2024-05-10|16:45:00|Project deposit|XYZ Construction|10000.00
2023-11-19|11:30:45|Gasoline|Shell|-50.00
2023-04-19|17:20:20|Dinner with clients|Olive Garden|-145.60
2024-06-20|09:50:15|Office chairs|Ikea|-400.00